ID,Brand,Model,Motor,Name,Power,Torque,Weight
127,Audi,RS6,C7 4.0 V8 Twin Turbo (2013-present),Audi/RS6/C7 4.0 V8 Twin Turbo (2013-present) ,9.3,15.2,1.2
128,Audi,RS7,C7 4.0 V8 Twin Turbo (2013-present),Audi/RS7/C7 4.0 V8 Twin Turbo (2013-present),9.3,15.2,1.2
134,Audi,S3,8V Sportback (2013-present),Audi/S3/8V Sportback (2013-present),10.4,13.4,2.4
137,Audi,R8,MKI V10 5.2 FSI Coupe/Spider (2009-2012),Audi/R8/MKI V10 5.2 FSI Coup??/Spider (2009-2012),20.7,22.3,21.7
138,Audi,RS3,8V Sportback (2015-present),Audi/RS3/8V Sportback (2015-Present) ,19.2,25.7,3.1
140,Audi,R8,MKI Facelift V8 4.2 FSI Coupe/Spider (2013-2015),Audi/R8/MKI Facelift V8 4.2 FSI Coupe/Spider (2013-2015),16.6,18.1,21.5
141,Audi,R8,MKI V8 4.2 FSI Coupe/Spider (2007-2012),Audi/R8/MKI V8 4.2 FSI Coup??/Spider (2007-2012) ,16.6,18.1,21.5
142,Audi,TT,8J MKII 2.0 TFSI 2WD (2006-2014),Audi/TT/8J MKII 2.0 TFSI 2WD (2006-2014),11.2,19.3,10.7
143,Audi,TT,8J MKII 2.0 TFSI 4WD (2006-2014),Audi/TT/8J MKII 2.0 TFSI 4WD (2006-2014),11.2,19.3,10.7
144,Audi,TT,8J MKII 1.8 2.0 TFSI 4WD (2006-2014),Audi/TT/8J MKII 1.8 TFSI 4WD (2006-2014),9.5,12.9,10.7
145,Audi,TT,8J MKII 1.8 2.0 TFSI 2WD (2006-2014),Audi/TT/8J MKII 1.8 TFSI 2WD (2006-2014),9.5,12.9,10.7
146,Audi,TTS,8J MKII 2.0 TFSI 4WD (2008-2014),Audi/TTS/8J MKII 2.0 TFSI 4WD (2008-2014),14.4,19.3,10.3
147,Audi,TT,8S MKIII 1.8 2.0 TFSI Quattro (2015-present),Audi/TT/8S MKIII 1.8 2.0 TFSI Quattro (2015-present),9.5,12.9,10.7
148,Audi,TT,8S MKIII 1.8 2.0 TFSI 2WD (2015-present),Audi/TT/8S MKIII 1.8 2.0 TFSI 2WD (2015-present) ,15.3,18.4,2.6
149,Audi,TTS,8S MKIII 2.0 TFSI 4WD (2015-present),Audi/TTS/8S MKIII 2.0 TFSI 4WD,12,20.4,10.7
